Dimension,Parent,Child,ConsolidationOp,DataStorage,SolveOrder,HasFormula,Notes
Time,2010/H2,2010/Q3,+,Store data,,,reconstructed
Time,2010/H2,2010/Q4,+,Store data,,,reconstructed
Time,2010/Q1,2010/01,+,Store data,,,reconstructed
Time,2010/Q1,2010/02,+,Store data,,,reconstructed
Time,2010/Q1,2010/03,+,Store data,,,reconstructed
Time,2010/Q2,2010/04,+,Store data,,,reconstructed
Time,2010/Q2,2010/05,+,Store data,,,reconstructed
Time,2010/Q2,2010/06,+,Store data,,,reconstructed
Time,2010/Q3,2010/07,+,Store data,,,reconstructed
Time,2010/Q3,2010/08,+,Store data,,,reconstructed
Time,2010/Q3,2010/09,+,Store data,,,reconstructed
Time,2010/Q4,2010/10,+,Store data,,,reconstructed
Time,2010/Q4,2010/11,+,Store data,,,reconstructed
Time,2010/Q4,2010/12,+,Store data,,,reconstructed
Time,Time,2011,+,Store data,,,
Time,2011,2011/H1,+,Store data,,,reconstructed
Time,2011,2011/H2,+,Store data,,,reconstructed
Time,2011/H1,2011/Q1,+,Store data,,,reconstructed
Time,2011/H1,2011/Q2,+,Store data,,,reconstructed
Time,2011/H2,2011/Q3,+,Store data,,,reconstructed
Time,2011/H2,2011/Q4,+,Store data,,,reconstructed
Time,2011/Q1,2011/01,+,Store data,,,reconstructed
Time,2011/Q1,2011/02,+,Store data,,,reconstructed
Time,2011/Q1,2011/03,+,Store data,,,reconstructed
Time,2011/Q2,2011/04,+,Store data,,,reconstructed
Time,2011/Q2,2011/05,+,Store data,,,reconstructed
Time,2011/Q2,2011/06,+,Store data,,,reconstructed
Time,2011/Q3,2011/07,+,Store data,,,reconstructed
Time,2011/Q3,2011/08,+,Store data,,,reconstructed
Time,2011/Q3,2011/09,+,Store data,,,reconstructed
Time,2011/Q4,2011/10,+,Store data,,,reconstructed
Time,2011/Q4,2011/11,+,Store data,,,reconstructed
Time,2011/Q4,2011/12,+,Store data,,,reconstructed
Time,Time,2012,+,Store data,,,
Time,2012,2012/H1,+,Store data,,,reconstructed
Time,2012,2012/H2,+,Store data,,,reconstructed
Time,2012/H1,2012/Q1,+,Store data,,,reconstructed
Time,2012/H1,2012/Q2,+,Store data,,,reconstructed
Time,2012/H2,2012/Q3,+,Store data,,,reconstructed
Time,2012/H2,2012/Q4,+,Store data,,,reconstructed
Time,2012/Q1,2012/01,+,Store data,,,reconstructed
Time,2012/Q1,2012/02,+,Store data,,,reconstructed
Time,2012/Q1,2012/03,+,Store data,,,reconstructed
Time,2012/Q2,2012/04,+,Store data,,,reconstructed
Time,2012/Q2,2012/05,+,Store data,,,reconstructed
Time,2012/Q2,2012/06,+,Store data,,,reconstructed
Time,2012/Q3,2012/07,+,Store data,,,reconstructed
Time,2012/Q3,2012/08,+,Store data,,,reconstructed
Time,2012/Q3,2012/09,+,Store data,,,reconstructed
Time,2012/Q4,2012/10,+,Store data,,,reconstructed
Time,2012/Q4,2012/11,+,Store data,,,reconstructed
Time,2012/Q4,2012/12,+,Store data,,,reconstructed
Time,Time,2013,+,Store data,,,
Time,2013,2013/H1,+,Store data,,,reconstructed
Time,2013,2013/H2,+,Store data,,,reconstructed
Time,2013/H1,2013/Q1,+,Store data,,,reconstructed
Time,2013/H1,2013/Q2,+,Store data,,,reconstructed
Time,2013/H2,2013/Q3,+,Store data,,,reconstructed
Time,2013/H2,2013/Q4,+,Store data,,,reconstructed
Time,2013/Q1,2013/01,+,Store data,,,reconstructed
Time,2013/Q1,2013/02,+,Store data,,,reconstructed
Time,2013/Q1,2013/03,+,Store data,,,reconstructed
Time,2013/Q2,2013/04,+,Store data,,,reconstructed
Time,2013/Q2,2013/05,+,Store data,,,reconstructed
Time,2013/Q2,2013/06,+,Store data,,,reconstructed
Time,2013/Q3,2013/07,+,Store data,,,reconstructed
Time,2013/Q3,2013/08,+,Store data,,,reconstructed
Time,2013/Q3,2013/09,+,Store data,,,reconstructed
Time,2013/Q4,2013/10,+,Store data,,,reconstructed
Time,2013/Q4,2013/11,+,Store data,,,reconstructed
Time,2013/Q4,2013/12,+,Store data,,,reconstructed
Time,Time,2014,+,Store data,,,
Time,2014,2014/H1,+,Store data,,,reconstructed
Time,2014,2014/H2,+,Store data,,,reconstructed
Time,2014/H1,2014/Q1,+,Store data,,,reconstructed
Time,2014/H1,2014/Q2,+,Store data,,,reconstructed
Time,2014/H2,2014/Q3,+,Store data,,,reconstructed
Time,2014/H2,2014/Q4,+,Store data,,,reconstructed
Time,2014/Q1,2014/01,+,Store data,,,reconstructed
Time,2014/Q1,2014/02,+,Store data,,,reconstructed
Time,2014/Q1,2014/03,+,Store data,,,reconstructed
Time,2014/Q2,2014/04,+,Store data,,,reconstructed
Time,2014/Q2,2014/05,+,Store data,,,reconstructed
Time,2014/Q2,2014/06,+,Store data,,,reconstructed
Time,2014/Q3,2014/07,+,Store data,,,reconstructed
Time,2014/Q3,2014/08,+,Store data,,,reconstructed
Time,2014/Q3,2014/09,+,Store data,,,reconstructed
Time,2014/Q4,2014/10,+,Store data,,,reconstructed
Time,2014/Q4,2014/11,+,Store data,,,reconstructed
Time,2014/Q4,2014/12,+,Store data,,,reconstructed
Time,Time,2015,+,Store data,,,
Time,2015,2015/H1,+,Store data,,,reconstructed
Time,2015,2015/H2,+,Store data,,,reconstructed
Time,2015/H1,2015/Q1,+,Store data,,,reconstructed
Time,2015/H1,2015/Q2,+,Store data,,,reconstructed
Time,2015/H2,2015/Q3,+,Store data,,,reconstructed
Time,2015/H2,2015/Q4,+,Store data,,,reconstructed
Time,2015/Q1,2015/01,+,Store data,,,reconstructed
Time,2015/Q1,2015/02,+,Store data,,,reconstructed
Time,2015/Q1,2015/03,+,Store data,,,reconstructed
Time,2015/Q2,2015/04,+,Store data,,,reconstructed
Time,2015/Q2,2015/05,+,Store data,,,reconstructed
Time,2015/Q2,2015/06,+,Store data,,,reconstructed
Time,2015/Q3,2015/07,+,Store data,,,reconstructed
Time,2015/Q3,2015/08,+,Store data,,,reconstructed
Time,2015/Q3,2015/09,+,Store data,,,reconstructed
Time,2015/Q4,2015/10,+,Store data,,,reconstructed
Time,2015/Q4,2015/11,+,Store data,,,reconstructed
Time,2015/Q4,2015/12,+,Store data,,,reconstructed
Time,Time,2016,+,Store data,,,
Time,2016,2016/H1,+,Store data,,,reconstructed
Time,2016,2016/H2,+,Store data,,,reconstructed
Time,2016/H1,2016/Q1,+,Store data,,,reconstructed
Time,2016/H1,2016/Q2,+,Store data,,,reconstructed
Time,2016/H2,2016/Q3,+,Store data,,,reconstructed
Time,2016/H2,2016/Q4,+,Store data,,,reconstructed
Time,2016/Q1,2016/01,+,Store data,,,reconstructed
Time,2016/Q1,2016/02,+,Store data,,,reconstructed
Time,2016/Q1,2016/03,+,Store data,,,reconstructed
Time,2016/Q2,2016/04,+,Store data,,,reconstructed
Time,2016/Q2,2016/05,+,Store data,,,reconstructed
Time,2016/Q2,2016/06,+,Store data,,,reconstructed
Time,2016/Q3,2016/07,+,Store data,,,reconstructed
Time,2016/Q3,2016/08,+,Store data,,,reconstructed
Time,2016/Q3,2016/09,+,Store data,,,reconstructed
Time,2016/Q4,2016/10,+,Store data,,,reconstructed
Time,2016/Q4,2016/11,+,Store data,,,reconstructed
Time,2016/Q4,2016/12,+,Store data,,,reconstructed
Time,Time,2017,+,Store data,,,
Time,2017,2017/H1,+,Store data,,,reconstructed
Time,2017,2017/H2,+,Store data,,,reconstructed
Time,2017/H1,2017/Q1,+,Store data,,,reconstructed
Time,2017/H1,2017/Q2,+,Store data,,,reconstructed
Time,2017/H2,2017/Q3,+,Store data,,,reconstructed
Time,2017/H2,2017/Q4,+,Store data,,,reconstructed
Time,2017/Q1,2017/01,+,Store data,,,reconstructed
Time,2017/Q1,2017/02,+,Store data,,,reconstructed
Time,2017/Q1,2017/03,+,Store data,,,reconstructed
Time,2017/Q2,2017/04,+,Store data,,,reconstructed
Time,2017/Q2,2017/05,+,Store data,,,reconstructed
Time,2017/Q2,2017/06,+,Store data,,,reconstructed
Time,2017/Q3,2017/07,+,Store data,,,reconstructed
Time,2017/Q3,2017/08,+,Store data,,,reconstructed
Time,2017/Q3,2017/09,+,Store data,,,reconstructed
Time,2017/Q4,2017/10,+,Store data,,,reconstructed
Time,2017/Q4,2017/11,+,Store data,,,reconstructed
Time,2017/Q4,2017/12,+,Store data,,,reconstructed
Time,Time,2018,+,Store data,,,
Time,2018,2018/H1,+,Store data,,,reconstructed
Time,2018,2018/H2,+,Store data,,,reconstructed
Time,2018/H1,2018/Q1,+,Store data,,,reconstructed
Time,2018/H1,2018/Q2,+,Store data,,,reconstructed
Time,2018/H2,2018/Q3,+,Store data,,,reconstructed
Time,2018/H2,2018/Q4,+,Store data,,,reconstructed
Time,2018/Q1,2018/01,+,Store data,,,reconstructed
Time,2018/Q1,2018/02,+,Store data,,,reconstructed
Time,2018/Q1,2018/03,+,Store data,,,reconstructed
Time,2018/Q2,2018/04,+,Store data,,,reconstructed
Time,2018/Q2,2018/05,+,Store data,,,reconstructed
Time,2018/Q2,2018/06,+,Store data,,,reconstructed
Time,2018/Q3,2018/07,+,Store data,,,reconstructed
Time,2018/Q3,2018/08,+,Store data,,,reconstructed
Time,2018/Q3,2018/09,+,Store data,,,reconstructed
Time,2018/Q4,2018/10,+,Store data,,,reconstructed
Time,2018/Q4,2018/11,+,Store data,,,reconstructed
Time,2018/Q4,2018/12,+,Store data,,,reconstructed
Time,Time,2019,+,Store data,,,
Time,2019,2019/H1,+,Store data,,,reconstructed
Time,2019,2019/H2,+,Store data,,,reconstructed
Time,2019/H1,2019/Q1,+,Store data,,,reconstructed
Time,2019/H1,2019/Q2,+,Store data,,,reconstructed
Time,2019/H2,2019/Q3,+,Store data,,,reconstructed
Time,2019/H2,2019/Q4,+,Store data,,,reconstructed
Time,2019/Q1,2019/01,+,Store data,,,reconstructed
Time,2019/Q1,2019/02,+,Store data,,,reconstructed
Time,2019/Q1,2019/03,+,Store data,,,reconstructed
Time,2019/Q2,2019/04,+,Store data,,,reconstructed
Time,2019/Q2,2019/05,+,Store data,,,reconstructed
Time,2019/Q2,2019/06,+,Store data,,,reconstructed
Time,2019/Q3,2019/07,+,Store data,,,reconstructed
Time,2019/Q3,2019/08,+,Store data,,,reconstructed
Time,2019/Q3,2019/09,+,Store data,,,reconstructed
Time,2019/Q4,2019/10,+,Store data,,,reconstructed
Time,2019/Q4,2019/11,+,Store data,,,reconstructed
Time,2019/Q4,2019/12,+,Store data,,,reconstructed
Time,Time,2020,+,Store data,,,
Time,2020,2020/H1,+,Store data,,,reconstructed
Time,2020,2020/H2,+,Store data,,,reconstructed
Time,2020/H1,2020/Q1,+,Store data,,,reconstructed
Time,2020/H1,2020/Q2,+,Store data,,,reconstructed
Time,2020/H2,2020/Q3,+,Store data,,,reconstructed
Time,2020/H2,2020/Q4,+,Store data,,,reconstructed
Time,2020/Q1,2020/01,+,Store data,,,reconstructed
Time,2020/Q1,2020/02,+,Store data,,,reconstructed
Time,2020/Q1,2020/03,+,Store data,,,reconstructed
Time,2020/Q2,2020/04,+,Store data,,,reconstructed
Time,2020/Q2,2020/05,+,Store data,,,reconstructed
Time,2020/Q2,2020/06,+,Store data,,,reconstructed
Time,2020/Q3,2020/07,+,Store data,,,reconstructed
Time,2020/Q3,2020/08,+,Store data,,,reconstructed
Time,2020/Q3,2020/09,+,Store data,,,reconstructed
Time,2020/Q4,2020/10,+,Store data,,,reconstructed
Time,2020/Q4,2020/11,+,Store data,,,reconstructed
Time,2020/Q4,2020/12,+,Store data,,,reconstructed
Time,Time,2021,+,Store data,,,
Time,2021,2021/H1,+,Store data,,,reconstructed
Time,2021,2021/H2,+,Store data,,,reconstructed
Time,2021/H1,2021/Q1,+,Store data,,,reconstructed
Time,2021/H1,2021/Q2,+,Store data,,,reconstructed
Time,2021/H2,2021/Q3,+,Store data,,,reconstructed
Time,2021/H2,2021/Q4,+,Store data,,,reconstructed
Time,2021/Q1,2021/01,+,Store data,,,reconstructed
Time,2021/Q1,2021/02,+,Store data,,,reconstructed
Time,2021/Q1,2021/03,+,Store data,,,reconstructed
Time,2021/Q2,2021/04,+,Store data,,,reconstructed
Time,2021/Q2,2021/05,+,Store data,,,reconstructed
Time,2021/Q2,2021/06,+,Store data,,,reconstructed
Time,2021/Q3,2021/07,+,Store data,,,reconstructed
Time,2021/Q3,2021/08,+,Store data,,,reconstructed
Time,2021/Q3,2021/09,+,Store data,,,reconstructed
Time,2021/Q4,2021/10,+,Store data,,,reconstructed
Time,2021/Q4,2021/11,+,Store data,,,reconstructed
Time,2021/Q4,2021/12,+,Store data,,,reconstructed
Time,Time,2022,+,Store data,,,
Time,2022,2022/H1,+,Store data,,,reconstructed
Time,2022,2022/H2,+,Store data,,,reconstructed
Time,2022/H1,2022/Q1,+,Store data,,,reconstructed
Time,2022/H1,2022/Q2,+,Store data,,,reconstructed
Time,2022/H2,2022/Q3,+,Store data,,,reconstructed
Time,2022/H2,2022/Q4,+,Store data,,,reconstructed
Time,2022/Q1,2022/01,+,Store data,,,reconstructed
Time,2022/Q1,2022/02,+,Store data,,,reconstructed
Time,2022/Q1,2022/03,+,Store data,,,reconstructed
Time,2022/Q2,2022/04,+,Store data,,,reconstructed
Time,2022/Q2,2022/05,+,Store data,,,reconstructed
Time,2022/Q2,2022/06,+,Store data,,,reconstructed
Time,2022/Q3,2022/07,+,Store data,,,reconstructed
Time,2022/Q3,2022/08,+,Store data,,,reconstructed
Time,2022/Q3,2022/09,+,Store data,,,reconstructed
Time,2022/Q4,2022/10,+,Store data,,,reconstructed
Time,2022/Q4,2022/11,+,Store data,,,reconstructed
Time,2022/Q4,2022/12,+,Store data,,,reconstructed
Time,Time,2023,+,Store data,,,
Time,2023,2023/H1,+,Store data,,,reconstructed
Time,2023,2023/H2,+,Store data,,,reconstructed
Time,2023/H1,2023/Q1,+,Store data,,,reconstructed
Time,2023/H1,2023/Q2,+,Store data,,,reconstructed
Time,2023/H2,2023/Q3,+,Store data,,,reconstructed
Time,2023/H2,2023/Q4,+,Store data,,,reconstructed
Time,2023/Q1,2023/01,+,Store data,,,reconstructed
Time,2023/Q1,2023/02,+,Store data,,,reconstructed
Time,2023/Q1,2023/03,+,Store data,,,reconstructed
Time,2023/Q2,2023/04,+,Store data,,,reconstructed
Time,2023/Q2,2023/05,+,Store data,,,reconstructed
Time,2023/Q2,2023/06,+,Store data,,,reconstructed
Time,2023/Q3,2023/07,+,Store data,,,reconstructed
Time,2023/Q3,2023/08,+,Store data,,,reconstructed
Time,2023/Q3,2023/09,+,Store data,,,reconstructed
Time,2023/Q4,2023/10,+,Store data,,,reconstructed
Time,2023/Q4,2023/11,+,Store data,,,reconstructed
Time,2023/Q4,2023/12,+,Store data,,,reconstructed
Time,Time,2024,+,Store data,,,
Time,2024,2024/H1,+,Store data,,,reconstructed
Time,2024,2024/H2,+,Store data,,,reconstructed
Time,2024/H1,2024/Q1,+,Store data,,,reconstructed
Time,2024/H1,2024/Q2,+,Store data,,,reconstructed
Time,2024/H2,2024/Q3,+,Store data,,,reconstructed
Time,2024/H2,2024/Q4,+,Store data,,,reconstructed
Time,2024/Q1,2024/01,+,Store data,,,reconstructed
Time,2024/Q1,2024/02,+,Store data,,,reconstructed
Time,2024/Q1,2024/03,+,Store data,,,reconstructed
Time,2024/Q2,2024/04,+,Store data,,,reconstructed
Time,2024/Q2,2024/05,+,Store data,,,reconstructed
Time,2024/Q2,2024/06,+,Store data,,,reconstructed
Time,2024/Q3,2024/07,+,Store data,,,reconstructed
Time,2024/Q3,2024/08,+,Store data,,,reconstructed
Time,2024/Q3,2024/09,+,Store data,,,reconstructed
Time,2024/Q4,2024/10,+,Store data,,,reconstructed
Time,2024/Q4,2024/11,+,Store data,,,reconstructed
Time,2024/Q4,2024/12,+,Store data,,,reconstructed
Time,Time,2025,+,Store data,,,
Time,2025,2025/H1,+,Store data,,,reconstructed
Time,2025,2025/H2,+,Store data,,,reconstructed
Time,2025/H1,2025/Q1,+,Store data,,,reconstructed
Time,2025/H1,2025/Q2,+,Store data,,,reconstructed
Time,2025/H2,2025/Q3,+,Store data,,,reconstructed
Time,2025/H2,2025/Q4,+,Store data,,,reconstructed
Time,2025/Q1,2025/01,+,Store data,,,reconstructed
Time,2025/Q1,2025/02,+,Store data,,,reconstructed
Time,2025/Q1,2025/03,+,Store data,,,reconstructed
Time,2025/Q2,2025/04,+,Store data,,,reconstructed
Time,2025/Q2,2025/05,+,Store data,,,reconstructed
Time,2025/Q2,2025/06,+,Store data,,,reconstructed
Time,2025/Q3,2025/07,+,Store data,,,reconstructed
Time,2025/Q3,2025/08,+,Store data,,,reconstructed
Time,2025/Q3,2025/09,+,Store data,,,reconstructed
Time,2025/Q4,2025/10,+,Store data,,,reconstructed
Time,2025/Q4,2025/11,+,Store data,,,reconstructed
Time,2025/Q4,2025/12,+,Store data,,,reconstructed
Measure,,Measure,,Label only,,,Dimension type=Accounts
Measure,Measure,Current,~,Store data,,,
Measure,Measure,OP,+,Store data,,,
Measure,Measure,Current %,~,Store data,67,Y,
Measure,Measure,Current_D,~,Store data,66,Y,
Measure,Measure,Current YTD,~,Store data,66,Y,
Measure,Measure,Last Period,~,Store data,67,Y,
Measure,Measure,Same Period LY,~,Store data,68,Y,
Measure,Measure,CS_D,~,Store data,68,Y,
Measure,Measure,Last Year YTD,~,Store data,70,Y,
Measure,Measure,CYLY_D,~,Store data,70,Y,
Measure,Measure,CL_D,~,Store data,67,Y,
Measure,Measure,C/L Variance,~,Store data,68,Y,
Measure,Measure,C/L %,~,Store data,69,Y,
Measure,Measure,C/S Variance,~,Store data,72,Y,
Measure,Measure,C/S %,~,Store data,72,Y,
Measure,Measure,CY/LY Variance,~,Store data,72,Y,
Measure,Measure,CY/LY %,~,Store data,72,Y,
Measure,Measure,Draft Variance,+,Store data,66,Y,
Measure,Measure,C/D Variance,+,Store data,66,Y,
Measure,Measure,C/D%,+,Store data,67,Y,
Measure,Measure,FcstV2,+,Store data,66,Y,
Measure,Measure,C/F2 Variance,+,Store data,66,Y,
Measure,Measure,C/F2 %,+,Store data,67,Y,
Currency,,Currency,,Store data,,,Dimension type=None
Currency,Currency,NTD K,+,Store data,,,
Currency,Currency,USD K,+,Store data,,,
Sector Total,,Sector Total,,Never share,,,Dimension type=None
Sector Total,Sector Total,Assy,+,Store data,,,
Sector Total,Assy,AsLogic,+,Store data,,,
Sector Total,Assy,AsMemory,+,Store data,,,
Sector Total,Sector Total,Test,+,Store data,,,
Sector Total,Test,TeLogic,+,Store data,,,
Sector Total,Test,TeMemory,+,Store data,,,
Sector Total,Sector Total,Material,+,Store data,,,
Sector Total,Material,BGA,+,Store data,,,
Sector Total,Material,FlipChip,+,Store data,,,
Sector Total,Material,LeadFrame,+,Store data,,,
Sector Total,Sector Total,EMS,+,Store data,,,
Sector Total,EMS,EMSEMS,+,Store data,,,
Sector Total,Sector Total,Estate,+,Store data,,,
Sector Total,Estate,ReEstate,+,Store data,,,
Sector Total,Sector Total,Other,+,Store data,,,
Sector Total,Other,OtOther,+,Store data,,,
Site Group,,Site Group,,Store data,,,Dimension type=None
Site Group,Site Group,ASEHoldCo_Group,+,Store data,,,
Site Group,Site Group,NewK_Group,+,Store data,,,
Site Group,Site Group,M_Group,+,Store data,,,
Site Group,Site Group,T_Group,+,Store data,,,
Site Group,Site Group,Oth_Manufactors,+,Store data,,,
Site Group,Site Group,Holdings,+,Store data,,,
Site Group,Site Group,Group Elim,+,Store data,,,
Site Group,Site Group,EMS_Group,+,Store data,,,
Site Group,Site Group,R_Group,+,Store data,,,
Site Group,Site Group,OtherRE_Group,+,Store data,,,
Site Group,Site Group,RealEstate,+,Store data,,,
Site Group,Site Group,Global Elim,+,Store data,,,
Site Group,Site Group,Group,+,Store data,,,
Site Group,Site Group,ASE_Group.,+,Store data,,,
Site Group,Site Group,SPIL_Group,+,Store data,,,
Site Group,Site Group,HCOther_Group,+,Store data,,,
Site Group,Site Group,HCGlobalElim,+,Store data,,,
Site Group,Site Group,Other_Semi_Group,+,Store data,,,
Site Org,,Site Org,,Store data,35,,Dimension type=None
Site Org,Site Org,ASEHoldCo,+,Store data,,,
Site Org,Site Org,ASEInc_Group,+,Store data,30,,collapsed:5 children not shown
Site Org,Site Org,SPIL_Group,+,Store data,30,,collapsed:2 children not shown
Site Org,Site Org,EMS_Group,+,Store data,30,,collapsed:1 children not shown
Site Org,Site Org,ASEGIS,+,Store data,,,
Site Org,Site Org,UGlobal,+,Store data,,,
Site Org,Site Org,HCOther_Group,+,Store data,,,collapsed:1 children not shown
Site Org,Site Org,HCGlobalElim,+,Store data,30,,collapsed:15 children not shown
Site Org,Site Org,OtherR_Group,~,Store data,30,,collapsed:15 children not shown
Site Org,Site Org,OtherH_Group,~,Store data,32,,collapsed:34 children not shown
Scenario,,Scenario,,Store data,,,Dimension type=None
Scenario,Scenario,Actual,+,Store data,,,
Scenario,Scenario,Draft,+,Store data,,,
Scenario,Scenario,Draft & Final,~,Store data,32,Y,
Scenario,Scenario,ForecastV1,+,Store data,,,
Scenario,Scenario,ForecastV2,+,Store data,,,
Scenario,Scenario,ForecastV3,+,Store data,,,
Scenario,Scenario,ForecastV4,+,Store data,,,
Filings,,Filings,,Label only,,,Dimension type=None
Filings,Filings,TW_Filing,~,Store data,,,
Filings,Filings,US_Filing,~,Store data,,,
Period,,Period,,Dynamic calc,,,Attribute(Text) assoc=Time
Period,Period,H1,,Dynamic calc,,,
Period,Period,H2,,Dynamic calc,,,
Period,H1,Q1,,Dynamic calc,,,
Period,H1,Q2,,Dynamic calc,,,
Period,H2,Q3,,Dynamic calc,,,reconstructed
Period,H2,Q4,,Dynamic calc,,,reconstructed
Period,Q1,01,,Dynamic calc,,,reconstructed
Period,Q1,02,,Dynamic calc,,,reconstructed
Period,Q1,03,,Dynamic calc,,,reconstructed
Period,Q2,04,,Dynamic calc,,,reconstructed
Period,Q2,05,,Dynamic calc,,,reconstructed
Period,Q2,06,,Dynamic calc,,,reconstructed
Period,Q3,07,,Dynamic calc,,,reconstructed
Period,Q3,08,,Dynamic calc,,,reconstructed
Period,Q3,09,,Dynamic calc,,,reconstructed
Period,Q4,10,,Dynamic calc,,,reconstructed
Period,Q4,11,,Dynamic calc,,,reconstructed
Period,Q4,12,,Dynamic calc,,,reconstructed
Year,,Year,,Dynamic calc,,,Attribute(Text) assoc=Time
Year,Year,2007,,Dynamic calc,,,
Year,Year,2008,,Dynamic calc,,,
Year,Year,2009,,Dynamic calc,,,
Year,Year,2010,,Dynamic calc,,,
Year,Year,2011,,Dynamic calc,,,
Year,Year,2012,,Dynamic calc,,,
Year,Year,2013,,Dynamic calc,,,
Year,Year,2014,,Dynamic calc,,,
Year,Year,2015,,Dynamic calc,,,
Year,Year,2016,,Dynamic calc,,,
Year,Year,2017,,Dynamic calc,,,
Year,Year,2018,,Dynamic calc,,,
Year,Year,2019,,Dynamic calc,,,
Year,Year,2020,,Dynamic calc,,,
Year,Year,2021,,Dynamic calc,,,
Year,Year,2022,,Dynamic calc,,,
Year,Year,2023,,Dynamic calc,,,
Year,Year,2024,,Dynamic calc,,,
Year,Year,2025,,Dynamic calc,,,
