Dimension,Parent,Child,ConsolidationOp,DataStorage,SolveOrder,HasFormula,Notes
Site Group,Site Group,ASEHoldCo_Group,+,Store data,,,
Site Group,Site Group,NewK_Group,+,Store data,,,
Site Group,Site Group,M_Group,+,Store data,,,
Site Group,Site Group,T_Group,+,Store data,,,
Site Group,Site Group,Oth_Manufactors,+,Store data,,,
Site Group,Site Group,Holdings,+,Store data,,,
Site Group,Site Group,Group Elim,+,Store data,,,
Site Group,Site Group,EMS_Group,+,Store data,,,
Site Group,Site Group,R_Group,+,Store data,,,
Site Group,Site Group,OtherRE_Group,+,Store data,,,
Site Group,Site Group,RealEstate,+,Store data,,,
Site Group,Site Group,Global Elim,+,Store data,,,
Site Group,Site Group,Group,+,Store data,,,
Site Group,Site Group,ASE_Group.,+,Store data,,,
Site Group,Site Group,SPIL_Group,+,Store data,,,
Site Group,Site Group,HCOther_Group,+,Store data,,,
Site Group,Site Group,HCGlobalElim,+,Store data,,,
Site Group,Site Group,Other_Semi_Group,+,Store data,,,
Site Org,,Site Org,,Store data,35,,Dimension type=None
Site Org,Site Org,ASEHoldCo,+,Store data,,,
Site Org,Site Org,ASEInc_Group,+,Store data,30,,collapsed:5 children not shown
Site Org,Site Org,SPIL_Group,+,Store data,30,,collapsed:2 children not shown
Site Org,Site Org,EMS_Group,+,Store data,30,,collapsed:1 children not shown
Site Org,Site Org,ASEGIS,+,Store data,,,
Site Org,Site Org,UGlobal,+,Store data,,,
Site Org,Site Org,HCOther_Group,+,Store data,,,collapsed:1 children not shown
Site Org,Site Org,HCGlobalElim,+,Store data,30,,collapsed:15 children not shown
Site Org,Site Org,OtherR_Group,~,Store data,30,,collapsed:15 children not shown
Site Org,Site Org,OtherH_Group,~,Store data,32,,collapsed:34 children not shown
Scenario,,Scenario,,Store data,,,Dimension type=None
Scenario,Scenario,Actual,+,Store data,,,
Scenario,Scenario,Draft,+,Store data,,,
Scenario,Scenario,Draft & Final,~,Store data,32,Y,
Scenario,Scenario,ForecastV1,+,Store data,,,
Scenario,Scenario,ForecastV2,+,Store data,,,
Scenario,Scenario,ForecastV3,+,Store data,,,
Scenario,Scenario,ForecastV4,+,Store data,,,
Filings,,Filings,,Label only,,,Dimension type=None
Filings,Filings,TW_Filing,~,Store data,,,
Filings,Filings,US_Filing,~,Store data,,,
Period,,Period,,Dynamic calc,,,Attribute(Text) assoc=Time
Period,Period,H1,,Dynamic calc,,,
Period,H1,Q1,,Dynamic calc,,,collapsed:3 children not shown
Period,H1,Q2,,Dynamic calc,,,collapsed:3 children not shown
Period,Period,H2,,Dynamic calc,,,collapsed:2 children not shown
Year,,Year,,Dynamic calc,,,Attribute(Text) assoc=Time
Year,Year,2007,,Dynamic calc,,,
Year,Year,2008,,Dynamic calc,,,
Year,Year,2009,,Dynamic calc,,,
Year,Year,2010,,Dynamic calc,,,
Year,Year,2011,,Dynamic calc,,,
Year,Year,2012,,Dynamic calc,,,
Year,Year,2013,,Dynamic calc,,,
Year,Year,2014,,Dynamic calc,,,
Year,Year,2015,,Dynamic calc,,,
Year,Year,2016,,Dynamic calc,,,
Year,Year,2017,,Dynamic calc,,,
Year,Year,2018,,Dynamic calc,,,
Year,Year,2019,,Dynamic calc,,,
Year,Year,2020,,Dynamic calc,,,
Year,Year,2021,,Dynamic calc,,,
Year,Year,2022,,Dynamic calc,,,
Year,Year,2023,,Dynamic calc,,,
Year,Year,2024,,Dynamic calc,,,
Year,Year,2025,,Dynamic calc,,,
